 mass A  
t x y 
4.203875E1 -1.836026E2 -4.857683E2
4.207217E1 -1.286638E2 -5.062524E2
4.210558E1 -6.888155E1 -5.166906E2
4.213900E1 -9.823727E-1 -5.229711E2
4.217242E1 5.747790E1 -5.183068E2
4.220583E1 1.131170E2 -5.066409E2
4.223925E1 1.776403E2 -4.885286E2
4.227267E1 2.327927E2 -4.627333E2
4.230609E1 2.740592E2 -4.438584E2
4.233950E1 3.187010E2 -4.154913E2
4.237292E1 3.536848E2 -3.896165E2
4.240634E1 3.806884E2 -3.653716E2
4.243975E1 3.976119E2 -3.474936E2
4.247317E1 4.076492E2 -3.361990E2
4.250659E1 4.115409E2 -3.315221E2
4.254001E1 4.093365E2 -3.340924E2
4.257342E1 4.012131E2 -3.434339E2
4.260684E1 3.837491E2 -3.610836E2
4.264026E1 3.596977E2 -3.837775E2
4.267367E1 3.257178E2 -4.064053E2
4.270709E1 2.853426E2 -4.334267E2
4.274051E1 2.404154E2 -4.585448E2
4.277393E1 1.822094E2 -4.851018E2
4.280734E1 1.198523E2 -5.045402E2
4.284076E1 5.596838E1 -5.162093E2
4.287418E1 -9.850574E0 -5.204921E2
4.290759E1 -7.548028E1 -5.147930E2
4.294101E1 -1.398791E2 -5.008738E2
4.297443E1 -1.949798E2 -4.807108E2
4.300785E1 -2.470182E2 -4.598416E2
4.304126E1 -2.970233E2 -4.264840E2
4.307468E1 -3.314663E2 -3.981517E2
4.310810E1 -3.540223E2 -3.727071E2
4.314151E1 -3.646888E2 -3.603107E2
4.317493E1 -3.772253E2 -3.465214E2
4.320835E1 -3.840623E2 -3.380515E2
4.324177E1 -3.842986E2 -3.375010E2
4.327518E1 -3.795564E2 -3.434491E2
4.330860E1 -3.686901E2 -3.563433E2
4.334202E1 -3.508137E2 -3.750667E2
4.337543E1 -3.260525E2 -3.980923E2
4.340885E1 -2.945643E2 -4.238355E2
4.344227E1 -2.549908E2 -4.501538E2
4.347569E1 -2.096404E2 -4.742661E2
4.350910E1 -1.634569E2 -4.927849E2
4.354252E1 -1.052391E2 -5.088071E2
4.357594E1 -4.318935E1 -5.182882E2
4.360935E1 2.008311E1 -5.185511E2
4.364277E1 8.327324E1 -5.121295E2
4.367619E1 1.446480E2 -4.967613E2
4.370961E1 2.002614E2 -4.781325E2
4.374302E1 2.530841E2 -4.519045E2
4.377644E1 2.922027E2 -4.280092E2
4.380986E1 3.362144E2 -4.044792E2
4.384327E1 3.668370E2 -3.713056E2
4.387669E1 3.915193E2 -3.523558E2
4.391011E1 3.991877E2 -3.448163E2
4.394352E1 4.052990E2 -3.364574E2
4.397694E1 4.044896E2 -3.341446E2
4.401036E1 3.978109E2 -3.398670E2
4.404378E1 3.856840E2 -3.540157E2
4.407719E1 3.635118E2 -3.707774E2
4.411061E1 3.360084E2 -3.955410E2
4.414403E1 3.002550E2 -4.226856E2
4.417744E1 2.564439E2 -4.499413E2
4.421086E1 2.030971E2 -4.767340E2
4.424428E1 1.460850E2 -4.989695E2
4.427770E1 8.377559E1 -5.150842E2
4.431111E1 1.751930E1 -5.231259E2
4.434453E1 -5.159686E1 -5.192763E2
4.437795E1 -1.107409E2 -5.127584E2
4.441136E1 -1.788432E2 -4.893734E2
4.444478E1 -2.207590E2 -4.748691E2
4.447820E1 -2.810187E2 -4.361275E2
4.451162E1 -3.169156E2 -4.102597E2
4.454503E1 -3.465636E2 -3.868101E2
4.457845E1 -3.547846E2 -3.744596E2
4.461187E1 -3.698223E2 -3.574647E2
4.464528E1 -3.786773E2 -3.465146E2
4.467870E1 -3.819626E2 -3.423709E2
4.471212E1 -3.805661E2 -3.465280E2
4.474554E1 -3.722383E2 -3.561516E2
4.477895E1 -3.570049E2 -3.722747E2
4.481237E1 -3.336472E2 -3.927010E2
4.484579E1 -3.049453E2 -4.166583E2
4.487920E1 -2.691413E2 -4.411554E2
4.491262E1 -2.271798E2 -4.665115E2
4.494604E1 -1.829065E2 -4.861809E2
4.497946E1 -1.286246E2 -5.036085E2
4.501287E1 -6.837108E1 -5.166155E2
4.504629E1 -3.613983E0 -5.210807E2
4.507971E1 5.705855E1 -5.164615E2
4.511312E1 1.186150E2 -5.049389E2
4.514654E1 1.774515E2 -4.868349E2
4.517996E1 2.302671E2 -4.629119E2
4.521338E1 2.750274E2 -4.381588E2
